Company,Location,Date,Time,Rocket,Mission,RocketStatus,Price,MissionStatus
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",28-05-75,7:29:00,Voskhod,Cosmos 740,Retired,,Success
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",30-05-75,6:45:00,Voskhod,Cosmos 741,Retired,,Success
RVSN USSR,"Site 107/1, Kapustin Yar, Russia",03-06-75,9:00:00,Cosmos-3M (11K65M),DS-U3 satellite,Retired,,Failure
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",03-06-75,13:20:00,Voskhod,Cosmos 742,Retired,,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",05-06-75,1:37:00,Molniya-M /Block ML,Molniya-1 n†­50 & SRET-2,Retired,,Success
Martin Marietta,"SLC-4E, Vandenberg AFB, California, USA",08-06-75,18:30:00,Titan IIID,KH-9 & SSF-C-5,Retired,,Success
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",12-06-75,12:30:00,Soyuz U,Cosmos 743,Retired,,Success
General Dynamics,"LC-13, Cape Canaveral AFS, Florida, USA",18-06-75,9:00:00,Atlas-SLV3A Agena-D,AFP-827 (Canyon-6),Retired,,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",20-06-75,6:54:00,Vostok-2M,Cosmos 744,Retired,,Success
RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",24-06-75,12:05:00,Cosmos-2I (63SM),Cosmos 745,Retired,,Success
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",25-06-75,12:59:00,Voskhod,Cosmos 746,Retired,,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",27-06-75,13:00:00,Voskhod,Cosmos 747,Retired,,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",03-07-75,13:40:00,Voskhod,Cosmos 748,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",04-07-75,0:56:00,Cosmos-3M (11K65M),Cosmos 749,Retired,,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",08-07-75,5:05:00,Molniya-M /Block ML,Molniya-2 n†­51,Retired,,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",11-07-75,4:15:00,Vostok-2M,Meteor-2 n†­1,Retired,,Success
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",15-07-75,12:20:00,Soyuz U,Soyuz 19 (Apollo-Soyuz),Retired,,Success
NASA,"LC-39B, Kennedy Space Center, Florida, USA",15-07-75,19:50:00,Saturn IB,ASTP (Apollo???Soyuz Test Project),Retired,,Success
RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",17-07-75,9:10:00,Cosmos-2I (63SM),Cosmos 750,Retired,,Success
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",23-07-75,13:00:00,Voskhod,Cosmos 751,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",24-07-75,19:00:00,Cosmos-3M (11K65M),Cosmos 752,Retired,,Success
CASC,"Site 138 (LA-2B), Jiuquan Satellite Launch Center, China",26-07-75,13:30:00,Feng Bao 1,JSSW-3,Retired,,Success
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",31-07-75,13:00:00,Voskhod,Cosmos 753,Retired,,Success
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",13-08-75,7:21:00,Voskhod,Cosmos 754,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",14-08-75,13:29:00,Cosmos-3M (11K65M),Cosmos 755,Retired,,Success
Martin Marietta,"SLC-41, Cape Canaveral AFS, Florida, USA",20-08-75,21:22:00,Titan IIIE,Viking 1,Retired,,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",22-08-75,2:11:00,Vostok-2M,Cosmos 756,Retired,,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",27-08-75,14:45:00,Voskhod,Cosmos 757,Retired,,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",02-09-75,13:09:00,Molniya-M /Block ML,Molniya-1 n†­52,Retired,,Success
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",05-09-75,14:49:00,Soyuz U,Cosmos 758,Retired,,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",09-09-75,0:19:00,Molniya-M /Block ML,Molniya-2 n†­53,Retired,,Success
MHI,"LA-Y1, Tanegashima Space Center, Japan",09-09-75,5:30:00,N-I,Kiku 1,Retired,,Success
Martin Marietta,"SLC-41, Cape Canaveral AFS, Florida, USA",09-09-75,18:39:00,Titan IIIE,Viking 2,Retired,,Success
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",12-09-75,5:30:00,Soyuz U,Cosmos 759,Retired,,Success
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",16-09-75,9:00:00,Voskhod,Cosmos 760,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",17-09-75,7:10:00,Cosmos-3M (11K65M),Cosmos 761 to 768,Retired,,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",18-09-75,0:12:00,Vostok-2M,Meteor n†­32,Retired,,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",23-09-75,10:00:00,Voskhod,Cosmos 769,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",24-09-75,12:00:00,Cosmos-3M (11K65M),Cosmos 770,Retired,,Success
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",25-09-75,9:49:00,Soyuz U,Cosmos 771,Retired,,Success
General Dynamics,"SLC-36B, Cape Canaveral AFS, Florida, USA",26-09-75,0:17:00,Atlas-SLV3D Centaur-D1AR,Intelsat 4A F1,Retired,,Success
CNES,"ELD, Guiana Space Centre, French Guiana, France",27-09-75,14:00:00,Diamant BP4,Aura,Retired,,Success
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",29-09-75,4:19:00,Soyuz U,Cosmos 772,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",30-09-75,18:38:00,Cosmos-3M (11K65M),Cosmos 773,Retired,,Success
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",01-10-75,8:30:00,Voskhod,Cosmos 774,Retired,,Success
US Air Force,"SLC-4W, Vandenberg AFB, California, USA",09-10-75,19:15:00,Titan III(24)B,OPS 5499,Retired,,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",17-10-75,14:29:00,Voskhod,Cosmos 776,Retired,,Success
RVSN USSR,"Site 90/20, Baikonur Cosmodrome, Kazakhstan",29-10-75,11:00:00,Tsyklon-2,Cosmos 777,Retired,,Success
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",04-11-75,15:19:00,Voskhod,Cosmos 779,Retired,,Success
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",14-11-75,19:13:00,Molniya-M /Block ML,Molniya-3 n†­54,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",15-11-75,10:12:00,Cosmos-3M (11K65M),Cosmos 778,Retired,,Success
CASC,"Site 138 (LA-2B), Jiuquan Satellite Launch Center, China",16-11-75,3:29:00,Long March 2,FSW-0 No.1,Retired,,Success
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",17-11-75,14:36:00,Soyuz U,Soyuz 20,Retired,,Success
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",21-11-75,9:20:00,Voskhod,Cosmos 780,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",21-11-75,17:11:00,Cosmos-3M (11K65M),Cosmos 781,Retired,,Success
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",25-11-75,17:00:00,Soyuz U,Cosmos 782,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",28-11-75,0:10:00,Cosmos-3M (11K65M),Cosmos 783,Retired,,Success
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",03-12-75,10:00:00,Voskhod,Cosmos 784,Retired,,Success
Martin Marietta,"SLC-4E, Vandenberg AFB, California, USA",04-12-75,20:38:00,Titan IIID,KH-9 & S3,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",11-12-75,17:00:00,Cosmos-3M (11K65M),Intercosmos-14,Retired,,Success
RVSN USSR,"Site 90/19, Baikonur Cosmodrome, Kazakhstan",12-12-75,12:45:00,Tsyklon-2,Cosmos 785,Retired,,Success
Martin Marietta,"SLC-40, Cape Canaveral AFS, Florida, USA",14-12-75,5:15:00,Titan III(23)C,DSP-5,Retired,,Success
CASC,"Site 138 (LA-2B), Jiuquan Satellite Launch Center, China",16-12-75,9:21:00,Feng Bao 1,JSSW-4,Retired,,Success
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",16-12-75,9:50:00,Voskhod,Cosmos 786,Retired,,Success
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",17-12-75,11:06:00,Molniya-M /Block ML,Molniya-2 n†­55,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",19-12-75,14:00:00,Cosmos-3M (11K65M),DS-P1 satellite,Retired,,Failure
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",22-12-75,,Molniya-M /Block SO-L,Prognoz n†­4,Retired,,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",25-12-75,19:00:00,Vostok-2M,Meteor n†­33,Retired,,Success
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",27-12-75,10:22:00,Molniya-M /Block ML,Molniya-3 n†­56,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",06-01-76,4:52:00,Cosmos-3M (11K65M),Cosmos 787,Retired,,Success
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",07-01-76,15:34:00,Voskhod,Cosmos 788,Retired,,Success
Martin Marietta,"SLC-41, Cape Canaveral AFS, Florida, USA",15-01-76,5:34:00,Titan IIIE,Helios-2,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",20-01-76,17:07:00,Cosmos-3M (11K65M),Cosmos 789,Retired,,Success
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",22-01-76,11:38:00,Molniya-M /Block ML,Molniya-1 n†­57,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",22-01-76,22:26:00,Cosmos-3M (11K65M),Cosmos 790,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",28-01-76,10:39:00,Cosmos-3M (11K65M),Cosmos 791 to 798,Retired,,Success
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",29-01-76,8:30:00,Voskhod,Cosmos 799,Retired,,Success
General Dynamics,"SLC-36B, Cape Canaveral AFS, Florida, USA",29-01-76,23:56:00,Atlas-SLV3D Centaur-D1AR,Intelsat 4A F2,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",03-02-76,8:16:00,Cosmos-3M (11K65M),Cosmos 800,Retired,,Success
ISAS,"Mu Pad, Uchinoura Space Center, Japan",04-02-76,5:00:00,Mu-III C,Corsa A,Retired,,Failure
RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",05-02-76,14:39:00,Cosmos-2I (63SM),Cosmos 801,Retired,,Success
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",11-02-76,8:50:00,Voskhod,Cosmos 802,Retired,,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",12-02-76,13:00:00,Cosmos-3M (11K65M),Cosmos 803,Retired,,Success
RVSN USSR,"Site 90/20, Baikonur Cosmodrome, Kazakhstan",16-02-76,8:29:00,Tsyklon-2,Cosmos 804,Retired,,Success
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",20-02-76,14:01:00,Soyuz U,Cosmos 805,Retired,,Success
MHI,"LA-Y1, Tanegashima Space Center, Japan",29-02-76,3:30:00,N-I,Ume 1,Retired,,Success
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",10-03-76,8:00:00,Soyuz U,Cosmos 806,Retired,,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",11-03-76,19:45:00,Molniya-M /Block ML,Molniya-1 n†­58,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",12-03-76,13:30:00,Cosmos-3M (11K65M),Cosmos 807,Retired,,Success
RVSN USSR,"Site 90/20, Baikonur Cosmodrome, Kazakhstan",13-03-76,17:15:00,Tsyklon-2,Cosmos 814,Retired,,Success
Martin Marietta,"SLC-40, Cape Canaveral AFS, Florida, USA",14-03-76,1:25:00,Titan III(23)C,"LES-8, LES-9, Solrad-11a, Solrad-11b",Retired,,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",16-03-76,17:22:00,Vostok-2M,Cosmos 808,Retired,,Success
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",18-03-76,9:15:00,Soyuz U,Cosmos 809,Retired,,Success
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",19-03-76,19:31:00,Molniya-M /Block ML,Molniya-1 n†­59,Retired,,Success
US Air Force,"SLC-4W, Vandenberg AFB, California, USA",22-03-76,18:14:00,Titan III(24)B,OPS 7600,Retired,,Success
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",26-03-76,15:00:00,Voskhod,Cosmos 810,Retired,,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",31-03-76,12:50:00,Soyuz M,Cosmos 811,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",06-04-76,4:14:00,Cosmos-3M (11K65M),Cosmos 812,Retired,,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",07-04-76,13:05:00,Vostok-2M,Meteor n†­34,Retired,,Success
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",09-04-76,8:30:00,Voskhod,Cosmos 813,Retired,,Success
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",28-04-76,9:30:00,Voskhod,Cosmos 815,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",28-04-76,13:30:00,Cosmos-3M (11K65M),Cosmos 816,Retired,,Success
General Dynamics,"SLC-3W, Vandenberg AFB, California, USA",30-04-76,19:12:00,Atlas-E/F MSD,NOSS-1,Retired,,Success
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",05-05-76,7:50:00,Voskhod,Cosmos 817,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",08-05-76,15:00:00,Cosmos-3M (11K65M),Cosmos 822,Retired,,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",12-05-76,17:57:00,Molniya-M /Block ML,Molniya-3 n†­60,Retired,,Success
General Dynamics,"SLC-36A, Cape Canaveral AFS, Florida, USA",13-05-76,22:28:00,Atlas-SLV3D Centaur-D1AR,Comstar D1,Retired,,Success
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",15-05-76,13:30:00,Vostok-2M,Meteor n†­35,Retired,,Success
RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",18-05-76,11:00:00,Cosmos-2I (63SM),Cosmos 818,Retired,,Success
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",20-05-76,9:00:00,Voskhod,Cosmos 819,Retired,,Success
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",21-05-76,7:00:00,Soyuz U,Cosmos 820,Retired,,Success
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",26-05-76,9:00:00,Voskhod,Cosmos 821,Retired,,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",02-06-76,22:30:00,Cosmos-3M (11K65M),Cosmos 823,Retired,,Success
Martin Marietta,"SLC-4W, Vandenberg AFB, California, USA",02-06-76,,Titan III(34)B Agena-D,Quasar 1,Retired,,Success
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",08-06-76,7:00:00,Voskhod,Cosmos 824,Retired,,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",15-06-76,13:19:00,Cosmos-3M (11K65M),Cosmos 825 to 832,Retired,,Success
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",16-06-76,13:09:00,Voskhod,Cosmos 833,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",19-06-76,,Cosmos-3M (11K65M),Intercosmos-15,Retired,,Success
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",24-06-76,7:10:00,Soyuz U,Cosmos 834,Retired,,Success
Martin Marietta,"SLC-40, Cape Canaveral AFS, Florida, USA",26-06-76,3:00:00,Titan III(23)C,DSP-6,Retired,,Success
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",29-06-76,7:20:00,Voskhod,Cosmos 835,Retired,,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",29-06-76,8:12:00,Cosmos-3M (11K65M),Cosmos 836,Retired,,Success
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",01-07-76,8:05:00,Molniya-M /Block ML,Cosmos 837,Retired,,Partial Failure
RVSN USSR,"Site 90/19, Baikonur Cosmodrome, Kazakhstan",02-07-76,10:30:00,Tsyklon-2,Cosmos 838,Retired,,Success
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",06-07-76,12:08:00,Soyuz,Soyuz 21,Retired,,Success
Martin Marietta,"SLC-4E, Vandenberg AFB, California, USA",08-07-76,18:30:00,Titan IIID,"KH-9, S3 & SSF-D-1",Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",08-07-76,21:08:00,Cosmos-3M (11K65M),Cosmos 839,Retired,,Success
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",14-07-76,9:00:00,Soyuz U,Cosmos 840,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",15-07-76,13:11:00,Cosmos-3M (11K65M),Cosmos 841,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",21-07-76,10:20:00,Cosmos-3M (11K65M),Cosmos 842,Retired,,Success
RVSN USSR,"Site 90/19, Baikonur Cosmodrome, Kazakhstan",21-07-76,15:14:00,Tsyklon-2,Cosmos 843,Retired,,Success
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",22-07-76,15:40:00,Soyuz U,Cosmos 844,Retired,,Success
General Dynamics,"SLC-36B, Cape Canaveral AFS, Florida, USA",22-07-76,22:04:00,Atlas-SLV3D Centaur-D1AR,Comstar D2,Retired,,Success
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",23-07-76,15:49:00,Molniya-M /Block ML,Molniya-1 n†­62,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",27-07-76,5:21:00,Cosmos-3M (11K65M),Cosmos 845,Retired,,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",27-07-76,12:00:00,Cosmos-3M (11K65M),Intercosmos-16,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",29-07-76,20:02:00,Cosmos-3M (11K65M),Cosmos 846,Retired,,Success
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",04-08-76,13:40:00,Soyuz U,Cosmos 847,Retired,,Success
Martin Marietta,"SLC-4W, Vandenberg AFB, California, USA",06-08-76,,Titan III(34)B Agena-D,Quasar 2,Retired,,Success
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",12-08-76,13:30:00,Soyuz U,Cosmos 848,Retired,,Success
RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",18-08-76,9:30:00,Cosmos-2I (63SM),Cosmos 849,Retired,,Success
RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",26-08-76,11:00:00,Cosmos-2I (63SM),Cosmos 850,Retired,,Success
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",27-08-76,14:34:00,Vostok-2M,Cosmos 851,Retired,,Success
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",28-08-76,9:00:00,Soyuz U,Cosmos 852,Retired,,Success
CASC,"Site 138 (LA-2B), Jiuquan Satellite Launch Center, China",30-08-76,11:45:00,Feng Bao 1,JSSW-5,Retired,,Success
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",01-09-76,3:23:00,Molniya-M /Block ML,Cosmos 853,Retired,,Partial Failure
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",03-09-76,9:20:00,Soyuz U,Cosmos 854,Retired,,Success
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",15-09-76,9:48:00,Soyuz U,Soyuz 22,Retired,,Success
US Air Force,"SLC-4W, Vandenberg AFB, California, USA",15-09-76,18:50:00,Titan III(24)B,OPS 8533,Retired,,Success
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",21-09-76,11:40:00,Soyuz U,Cosmos 855,Retired,,Success
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",22-09-76,9:30:00,Soyuz U,Cosmos 856,Retired,,Success
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",24-09-76,15:00:00,Soyuz U,Cosmos 857,Retired,,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",29-09-76,7:04:00,Cosmos-3M (11K65M),Cosmos 858,Retired,,Success
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",04-10-76,11:00:00,Soyuz U,Zenit-4MKT n†­370,Retired,,Failure
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",10-10-76,9:35:00,Soyuz U,Cosmos 859,Retired,,Success
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",14-10-76,17:39:00,Soyuz,Soyuz 23,Retired,,Success
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",15-10-76,22:59:00,Vostok-2M,Meteor n†­36,Retired,,Success
RVSN USSR,"Site 90/19, Baikonur Cosmodrome, Kazakhstan",17-10-76,18:06:00,Tsyklon-2,Cosmos 860,Retired,,Success
RVSN USSR,"Site 90/19, Baikonur Cosmodrome, Kazakhstan",21-10-76,16:53:00,Tsyklon-2,Cosmos 861,Retired,,Success
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",22-10-76,9:11:00,Molniya-M /Block 2BL,Cosmos 862,Retired,,Success
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",25-10-76,14:30:00,Soyuz U,Cosmos 863,Retired,,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",29-10-76,12:39:00,Cosmos-3M (11K65M),Cosmos 864,Retired,,Success
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",01-11-76,11:20:00,Soyuz U,Cosmos 865,Retired,,Success
CASC,"Site 138 (LA-2B), Jiuquan Satellite Launch Center, China",10-11-76,9:05:00,Feng Bao 1,JSSW-6,Retired,,Failure
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",11-11-76,10:45:00,Soyuz U,Cosmos 866,Retired,,Success
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",23-11-76,16:27:00,Soyuz U,Cosmos 867,Retired,,Success
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",25-11-76,,Molniya-M /Block SO-L,Prognoz n†­5,Retired,,Success
RVSN USSR,"Site 90/20, Baikonur Cosmodrome, Kazakhstan",26-11-76,14:30:00,Tsyklon-2,Cosmos 868,Retired,,Success
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",29-11-76,16:04:00,Soyuz U,Cosmos 869,Retired,,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",02-12-76,0:17:00,Cosmos-3M (11K65M),Cosmos 870,Retired,,Success
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",02-12-76,2:44:00,Molniya-M /Block ML,Molniya-2 n†­64,Retired,,Success
CASC,"Site 138 (LA-2B), Jiuquan Satellite Launch Center, China",07-12-76,4:38:00,Long March 2,FSW-0 No.2,Retired,,Success
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",09-12-76,10:00:00,Soyuz U,Cosmos 879,Retired,,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",09-12-76,20:00:00,Cosmos-3M (11K65M),Cosmos 880,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",15-12-76,13:59:00,Cosmos-3M (11K65M),Cosmos 883,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",16-12-76,10:23:00,Cosmos-3M (11K65M),Cosmos 871 to 878,Retired,,Success
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",17-12-76,9:30:00,Soyuz U,Cosmos 884,Retired,,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",17-12-76,12:00:00,Cosmos-3M (11K65M),Cosmos 885,Retired,,Success
Martin Marietta,"SLC-4E, Vandenberg AFB, California, USA",19-12-76,18:19:00,Titan IIID,KH-11,Retired,,Success
RVSN USSR,"Site 90/19, Baikonur Cosmodrome, Kazakhstan",27-12-76,12:05:00,Tsyklon-2,Cosmos 886,Retired,,Success
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",28-12-76,6:38:00,Molniya-M /Block ML,Molniya-3 n†­65,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",28-12-76,7:49:00,Cosmos-3M (11K65M),Cosmos 887,Retired,,Success
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",06-01-77,9:40:00,Soyuz U,Cosmos 888,Retired,,Success
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",06-01-77,23:17:00,Vostok-2M,Meteor-2 n†­2,Retired,,Success
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",20-01-77,8:30:00,Soyuz U,Cosmos 889,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",20-01-77,20:05:00,Cosmos-3M (11K65M),Cosmos 890,Retired,,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",02-02-77,12:30:00,Cosmos-3M (11K65M),Cosmos 891,Retired,,Success
Martin Marietta,"SLC-40, Cape Canaveral AFS, Florida, USA",06-02-77,6:00:00,Titan III(23)C,DSP-7,Retired,,Success
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",07-02-77,16:11:00,Soyuz U,Soyuz 24,Retired,,Success
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",09-02-77,11:30:00,Soyuz U,Cosmos 892,Retired,,Success
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",11-02-77,14:57:00,Molniya-M /Block ML,Molniya-2 n†­66,Retired,,Success
